name,description,category,price,stock,status,picture,created_time,updated_time
Jacob's Original Cream Crackers,The Jacobs cream cracker - the original and the best.The original toppable cracker is the perfect base for all your favourite pairings. Why not try them with roast Chicken and Pesto or keep it traditional with Cheddar Cheese & Tomato?,food,1.30,60,active,product_images/crackers_1.jpg,2025-02-26 02:14:22.224731,2025-02-26 02:14:22.224731
Jacob's High Fibre Cream Crackers,"Our original Cream Crackers that you know and love, but baked with added fibre and wheat bran.Why not try them with a tangy Tomato Chutney and a rich Double Gloucester Cheese?",food,1.70,53,active,product_images/crackers_2.jpg,2025-02-26 02:14:22.224731,2025-02-26 02:14:22.224731
Jacob's TUC Original Snack Crackers,"Delicious and snackable Salted TUC biscuits are baked, rather than fried, to provide a light and crispy texture in every bite!",food,1.50,99,active,product_images/crackers_3.jpg,2025-02-26 02:14:22.224731,2025-02-26 02:14:22.224731
Jacob's Original Cream Crackers,The Jacobs cream cracker - the original and the best.The original toppable cracker is the perfect base for all your favourite pairings.Why not try them with roast Chicken and Pesto or keep it traditional with Cheddar Cheese & Tomato?,food,1.70,96,active,product_images/crackers_4.jpg,2025-02-26 02:14:22.224731,2025-02-26 02:14:22.224731
Carr's Table Water Crackers,"Made with the finest ingredients for a delicious taste, Carr's Table Water Biscuits are perfectly baked to ensure our signature crisp and sublimely light texture. Intentionally simple and subtle, nothing will get in the way of enjoying the full flavours of the toppings and pairings that you serve up.Why not try with Cream Feta, Avocado and Roasted Red Pepper?",food,1.70,49,active,product_images/crackers_5.jpg,2025-02-26 02:14:22.224731,2025-02-26 02:14:22.224731
Nairn's Marmite & Cheese Oatcakes,"No added sugar**Contains naturally occurring sugars.Our newest oatcake combines the deliciously iconic flavours of Marmite® and cheese, for something so moreish you'll want to scoff the whole box.They're the perfect blank canvas for all your favourite toppings or great on their own, the hardest part is stopping at just one!",food,1.50,54,active,product_images/crackers_6.jpg,2025-02-26 02:14:22.224731,2025-02-26 02:14:22.224731
Ryvita Snack It Thins Sour Cream and Chive Flatbread Snacks,"100% of our thins are British baked, however our wheat flour may sometimes come from outside the UK",food,2.20,85,active,product_images/crackers_7.jpg,2025-02-26 02:14:22.224731,2025-02-26 02:14:22.224731
Jacob's Cheeselets Baked Snacks Multipack,"Baked with the delicate flavour of cheese, Cheeselets are the perfect anytime snack for all the family.",food,1.75,11,active,product_images/crackers_8.jpg,2025-02-26 02:14:22.224731,2025-02-26 02:14:22.224731
Del Monte Crunchy Lemon Flavour Apple Sticks,No Added Sugars**Contains naturally occurring sugars,food,1.25,48,active,product_images/crackers_9.jpg,2025-02-26 02:14:22.224731,2025-02-26 02:14:22.224731
Ritz Original Cracker Box,Suitable for vegans,food,1.25,30,active,product_images/crackers_10.jpg,2025-02-26 02:14:22.224731,2025-02-26 02:14:22.224731
Carr's Crackers Selection,"A collection of Carr's finest quality biscuits including the Melts Original, Wheatmeal, Table Water Black Pepper, Poppy & Sesame, Multigrain, Melts Cheese and Table Water for those perfect sharing moments.Perfect for elevating those sharing moments, with all your Carr's favourites in one handy selection box.We've been baking pioneers since 1831. That's almost 200 years of crafting with carefully selected ingredients, including flour from our local mill and baking in our iconic carlisle brick ovens. Intentionally simple and subtle, nothing will get in the way of enjoying the full flavours of the toppings and pairings that you serve up.Suitable for vegetarians and kosher.",food,3.50,45,active,product_images/crackers_11.jpg,2025-02-26 02:14:22.224731,2025-02-26 02:14:22.224731
Ryvita Snack It Thins Smoky BBQ Flavour,"Crunch time. Enjoy a British baked, flavour packed Ryvita snack since 1925100% of our Thins are British baked, however our wheat flour may sometimes come from outside the UK",food,2.20,82,active,product_images/crackers_12.jpg,2025-02-26 02:14:22.224731,2025-02-26 02:14:22.224731
Jacob's Biscuits For Cheese 8 Variety Assortment,"Drawing on over 160 years' worth of baking knowledge, Jacob's has gathered the ultimate selection of crackers to pair with all your favourite cheeses.Inside you'll findCream crackers - Table cracker - Cornish Wafers® - Cheddars® - Water biscuits - Digestives biscuits - Salt & cracked black pepper bakes - Sesame Carltons",food,4.00,76,active,product_images/crackers_13.jpg,2025-02-26 02:14:22.224731,2025-02-26 02:14:22.224731
Ritz Cheese Cracker Box,Suitable for vegetarians,food,1.25,31,active,product_images/crackers_14.jpg,2025-02-26 02:14:22.224731,2025-02-26 02:14:22.224731
Jacob's Mediterranean Pinch Of Salt Crackers,"Our bakers have been busy bringing you the taste of the Mediterranean in these satisfyingly light, melt in the mouth crackers. For some extra sun-soaked crunch, try crumbling these over your lunchtime salad or dunking in houmous?",food,2.00,96,active,product_images/crackers_15.jpg,2025-02-26 02:14:22.224731,2025-02-26 02:14:22.224731
Hovis Digestive Biscuits,Digestive biscuits with wheatgerm,food,1.50,56,active,product_images/crackers_16.jpg,2025-02-26 02:14:22.224731,2025-02-26 02:14:22.224731
Jacob's Cream Cracker Multipack 8 Snack Packs,The Jacobs cream cracker - the original and the best.The original toppable cracker is the perfect base for all your favourite pairings. Why not try them with roast Chicken and Pesto or keep it traditional with Cheddar Cheese & Tomato?,food,2.00,84,active,product_images/crackers_17.jpg,2025-02-26 02:14:22.224731,2025-02-26 02:14:22.224731
The Snack Organisation Presents...Lightly Salted Rice Crackers,"Rice crackers are a healthy and delicious low fat snack, great with dips or as a snack.",food,1.10,39,active,product_images/crackers_18.jpg,2025-02-26 02:14:22.224731,2025-02-26 02:14:22.224731
Jacob's Butter Puffs Crackers,"Our lightest, flakiest crackers are the perfect, delicate base for all your favourite toppings.Why not try them with Goats Cheese, Honey and fresh Thyme?",food,2.00,51,active,product_images/crackers_19.jpg,2025-02-26 02:14:22.224731,2025-02-26 02:14:22.224731
Del Monte Fruit Crisps Strawberry,No Added Sugars**Contains naturally occurring sugars.,food,1.25,83,active,product_images/crackers_20.jpg,2025-02-26 02:14:22.224731,2025-02-26 02:14:22.224731
Finn Crisp Original Rye,"100% Whole Grain**The product contains 100% wholegrain rye from grain ingredientsFinn crisp is made from pure Finnish lake waters, sourdough and 100% wholegrain rye! Tasty, crispy and baked full of goodness. Discover the spirit of Finland with a topping of your choice.",food,1.40,72,active,product_images/crackers_21.jpg,2025-02-26 02:14:22.224731,2025-02-26 02:14:22.224731
Ryvita Snack It Thins Sea Salt and Cider Vinegar Flatbread Snacks,"Crunch time. Enjoy a British baked, flavour packed Ryvita snack since 1925100% of our Thins are British baked, however our wheat flour may sometimes come from outside the UK",food,2.20,62,active,product_images/crackers_22.jpg,2025-02-26 02:14:22.224731,2025-02-26 02:14:22.224731
Jacob's Cheeselets Baked Snacks Sharing Bag,Are baked with the delicate flavour of cheese they are the perfect anytime snack for all the family,food,1.75,29,active,product_images/crackers_23.jpg,2025-02-26 02:14:22.224731,2025-02-26 02:14:22.224731
Ritz Breaks Original Crackers 6 Pack Multipack,"Break these bite-size treats for a handy snack, save some for later... or don't! However you eat them, you'll love the melt-in-the-mouth texture of Ritz Breaks",food,1.25,88,active,product_images/crackers_24.jpg,2025-02-26 02:14:22.224731,2025-02-26 02:14:22.224731
